GeneID	Class
Tb927.10.3420	3_UTR
Tb09.160.1950	Acidocalcisome
Tb11.02.4910	Acidocalcisome
Tb11.02.4930	Acidocalcisome
Tb11.01.4040	Acidocalcisome
Tb927.8.7980	Acidocalcisome
Tb927.10.5780	Amino.acid.transport
Tb927.8.7610	Amino.acid.transport
Tb927.8.7620	Amino.acid.transport
Tb927.8.7630	Amino.acid.transport
Tb927.8.7640	Amino.acid.transport
Tb927.4.4820	Amino.acid.transport
Tb927.4.4840	Amino.acid.transport
Tb927.4.4860	Amino.acid.transport
Tb927.8.7600	Amino.acid.transport
Tb927.8.7670	Amino.acid.transport
Tb927.8.7700	Amino.acid.transport
Tb927.8.8300	Amino.acid.transport
Tb11.01.7590	Amino.acid.transport
Tb11.01.7600	Amino.acid.transport
Tb927.10.9850	Amino.acid.transport
Tb927.4.3930	Amino.acid.transport
Tb927.4.3990	Amino.acid.transport
Tb927.4.4000	Amino.acid.transport
Tb927.4.4010	Amino.acid.transport
Tb927.4.4020	Amino.acid.transport
Tb927.4.4830	Amino.acid.transport
Tb927.4.4850	Amino.acid.transport
Tb927.4.4870	Amino.acid.transport
Tb927.8.4710	Amino.acid.transport
Tb927.8.4720	Amino.acid.transport
Tb927.8.4730	Amino.acid.transport
Tb927.8.4740	Amino.acid.transport
Tb927.8.7650	Amino.acid.transport
Tb927.8.7680	Amino.acid.transport
Tb927.8.7740	Amino.acid.transport
Tb927.8.8220	Amino.acid.transport
Tb927.8.8230	Amino.acid.transport
Tb927.8.8240	Amino.acid.transport
Tb927.8.8250	Amino.acid.transport
Tb927.8.8260	Amino.acid.transport
Tb927.8.5450	Amino.acid.transport
Tb927.4.4730	Amino.acid.transport
Tb927.8.4700	Amino.acid.transport
Tb927.10.6500	Amino.acid.transport
Tb927.6.4660	Amino.acid.transport
Tb11.01.7500	Amino.acid.transport
Tb11.01.7520	Amino.acid.transport
Tb09.211.1760	Amino.acid.transport
Tb11.02.4520	Amino.acid.transport
Tb927.8.8290	Amino.acid.transport
Tb927.4.360	Amino.acids
Tb11.55.0024	Amino.acids
Tb927.8.2020	Amino.acids
Tb927.5.1280	Amino.acids
Tb927.1.3000	Amino.acids
Tb09.160.4590	Amino.acids
Tb09.160.4570	Amino.acids
Tb09.160.4560	Amino.acids
Tb927.7.1110	Amino.acids
Tb927.10.3660	Amino.acids
Tb10.v4.0043	Amino.acids
Tb11.18.0006	Amino.acids
Tb09.211.3330	Amino.acids
Tb11.02.5400	Amino.acids
Tb927.10.2750	Amino.acids
Tb927.1.870	Amino.acids
Tb927.7.5560	Amino.acids
Tb927.5.3800	Amino.acids
Tb927.7.4970	Amino.acids
Tb927.7.6940	Amino.acids
Tb927.1.1270	Amino.acids
Tb09.160.0810	Amino.acids
Tb927.10.11970	Amino.acids
Tb927.10.4460	Amino.acids
Tb10.v4.0036	Amino.acids
Tb927.7.5920	Amino.acids
Tb927.7.7040	Amino.acids
Tb09.160.0770	Amino.acids
Tb927.7.1910	Amino.acids
Tb927.8.3130	Amino.acids
Tb11.01.1350	Amino.acids
Tb09.211.3850	Amino.acids
Tb927.7.4390	Amino.acids
Tb11.55.0013	Amino.acids
Tb927.6.4430	Amino.acids
Tb927.10.470	Amino.acids
Tb11.55.0026	Amino.acids
Tb927.8.6060	Amino.acids
Tb11.02.4480	Amino.acids
Tb927.8.6970	Amino.acids
Tb11.02.2740	Amino.acids
Tb927.2.4590	Amino.acids
Tb927.2.4610	Amino.acids
Tb11.01.1440	Amino.acids
Tb927.10.4000	Amino.acids
Tb11.v5.0178	Amino.acids
Tb11.v5.0783	Amino.acids
Tb11.v5.0998	Amino.acids
Tb927.1.4690	Arg.methylation
Tb927.10.3560	Arg.methylation
Tb927.10.640	Arg.methylation
Tb927.7.5490	Arg.methylation
Tb927.5.3960	Arg.methylation
Tb927.10.370	Calcium
Tb927.10.2880	Calcium
Tb927.6.2720	Calcium
Tb11.01.4621	Calcium
Tb11.01.4622	Calcium
Tb11.01.4623	Calcium
Tb11.01.4624	Calcium
Tb09.211.2540	Calcium
Tb927.6.4710	Calcium
Tb09.160.4520	Calcium
Tb11.01.1550	Calcium
Tb11.02.1160	Calcium
Tb11.02.5800	Calcium
Tb927.7.3450	Calcium
Tb927.4.3330	Calcium
Tb927.10.6960	Calcium
Tb11.v5.0712	Calcium
Tb11.v5.0798	Calcium
Tb11.01.8770	Cell.cycle
Tb927.10.15690	Cell.cycle
Tb11.01.0330	Cell.cycle
Tb927.7.5570	Cell.cycle
Tb927.7.5580	Cell.cycle
Tb927.1.1060	Cell.cycle
Tb927.7.7360	Cell.cycle
Tb11.02.0310	Cell.cycle
Tb11.01.4270	Cell.cycle
Tb927.6.2150	Cell.cycle
Tb927.1.3230	Cell.cycle
Tb927.8.6500	Cell.cycle
Tb927.4.2260	Cell.cycle
Tb927.8.1080	Cell.cycle
Tb927.10.8710	Cell.cycle
Tb11.01.5470	Cell.cycle
Tb927.10.1070	Cell.cycle
Tb11.01.4130	Cell.cycle
Tb927.10.4990	Cell.cycle
Tb927.8.5390	Cell.cycle
Tb927.8.6340	Cell.cycle
Tb927.8.6350	Cell.cycle
Tb927.7.7170	Cell.cycle
Tb927.10.11440	Cell.cycle
Tb11.01.4450	Cell.cycle
Tb11.01.5660	Cell.cycle
Tb927.6.1460	Cell.cycle
Tb11.01.8460	Cell.cycle
Tb927.6.5020	Cell.cycle
Tb11.01.5600	Cell.cycle
Tb11.01.3350	Cell.cycle
Tb11.01.8085	Cell.cycle
Tb927.8.8350	Cell.cycle
Tb927.7.1590	Cell.cycle
Tb927.11.7216.1	Cell.cycle
Tb11.02.5110	Cell.cycle
Tb927.10.4310	Cell.cycle
Tb10.v4.0045	Cell.cycle
Tb927.10.6240	Cell.cycle
Tb927.7.1190	Cell.cycle
Tb927.7.1210	Cell.cycle
Tb927.3.1750	Cell.cycle
Tb11.01.4230	Cell.cycle
Tb11.01.4250	Cell.cycle
Tb927.10.6330	Cell.cycle
Tb927.7.2110	Cell.cycle
Tb927.8.1680	Cell.cycle
Tb927.7.4860	Cell.cycle
Tb927.10.7240	Cell.cycle
Tb927.6.3760	Cell.cycle
Tb11.01.1760	Cell.cycle
Tb927.3.2330	Cell.cycle
Tb09.160.2400	Cell.cycle
Tb11.01.2290	Cell.cycle
Tb927.8.3680	Cell.cycle
Tb927.7.4850	Cell.cycle
Tb927.6.1210	Cell.cycle
Tb11.03.0080	Cell.cycle
Tb927.4.5110	Cell.cycle
Tb927.8.1150	Cell.cycle
Tb09.211.2260	Cell.cycle
Tb927.4.3420	Cell.cycle
Tb927.10.9160	Cell.cycle
Tb927.3.4170	Cell.cycle
Tb927.3.1610	Cell.cycle
Tb927.10.350	Cell.cycle
Tb927.7.3880	Cell.cycle
Tb927.7.3410	Cell.cycle
Tb927.8.4760	Cell.cycle
