Gene	peak.time
Tb09.160.0410	Early G1
Tb09.160.0450	Early G1
Tb09.160.0480	Early G1
Tb09.160.0500	Early G1
Tb09.160.0530	Early G1
Tb09.160.0550	Early G1
Tb09.160.0620	Early G1
Tb09.160.0700	Early G1
Tb09.160.0740	Early G1
Tb09.160.0750	Early G1
Tb09.160.0770	Early G1
Tb09.160.0900	Early G1
Tb09.160.0950	Early G1
Tb09.160.1000	Early G1
Tb09.160.1070	Early G1
Tb09.160.1090	Early G1
Tb09.160.1100	Early G1
Tb09.160.1160	Early G1
Tb09.160.1170	Early G1
Tb09.160.1260	Early G1
Tb09.160.1320	Early G1
Tb09.160.1370	Early G1
Tb09.160.1390	Early G1
Tb09.160.1400	Early G1
Tb09.160.1670	Early G1
Tb09.160.1680	Early G1
Tb09.160.1740	Early G1
Tb09.160.1760	Early G1
Tb09.160.1770	Early G1
Tb09.160.2160	Early G1
Tb09.160.2230	Early G1
Tb09.160.2280	Early G1
Tb09.160.2480	Early G1
Tb09.160.2650	Early G1
Tb09.160.2770	Early G1
Tb09.160.2780	Early G1
Tb09.160.2810	Early G1
Tb09.160.2900	Early G1
Tb09.160.2910	Early G1
Tb09.160.2920	Early G1
Tb09.160.2990	Early G1
Tb09.160.3050	Early G1
Tb09.160.3060	Early G1
Tb09.160.3120	Early G1
Tb09.160.3270	Early G1
Tb09.160.3280	Early G1
Tb09.160.3320	Early G1
Tb09.160.3340	Early G1
Tb09.160.3520	Early G1
Tb09.160.3530	Early G1
Tb09.160.3690	Early G1
Tb09.160.3730	Early G1
Tb09.160.3830	Early G1
Tb09.160.3850	Early G1
Tb09.160.3880	Early G1
Tb09.160.3890	Early G1
Tb09.160.3910	Early G1
Tb09.160.3990	Early G1
Tb09.160.4020	Early G1
Tb09.160.4030	Early G1
Tb09.160.4200	Early G1
Tb09.160.4220	Early G1
Tb09.160.4290	Early G1
Tb09.160.4300	Early G1
Tb09.160.4310	Early G1
Tb09.160.4320	Early G1
Tb09.160.4380	Early G1
Tb09.160.4430	Early G1
Tb09.160.4450	Early G1
Tb09.160.4460	Early G1
