GeneID	Annotation	Class
Tb927.10.10890	heat shock protein 83, HSP83	Chaperone
Tb927.9.3280	acidocalcisomal exopolyphosphatase	Acidocalcisome
Tb927.11.7060	acidocalcisomal pyrophosphatase (VSP1)	Acidocalcisome
Tb927.11.12220	catalytic subunit of the vacuolar transporter chaperone 4, polyphosphate polymerase, Vtc4	Acidocalcisome
Tb927.10.5780	amino acid tansporter, putative	Amino.acid.transport
Tb927.10.9850	amino acid transporter, putative	Amino.acid.transport
Tb927.4.3930	amino acid transporter, putative	Amino.acid.transport
Tb927.8.5450	amino acid transporter, putative (AAT6)	Amino.acid.transport
Tb927.8.4700	amino acid transporter, putative (AATP6)	Amino.acid.transport
Tb927.10.6500	amino acid transporter, putative,amino acid permease, putative	Amino.acid.transport
Tb927.6.4660	cationic amino acid transporter, putative	Amino.acid.transport
Tb927.11.15840	L-Lysine transport protein, putative	Amino.acid.transport
Tb927.9.10340	Polyamine transporter 1 (TbPOT1)	Amino.acid.transport
Tb927.11.6680	Polyamine transporter 2 (TbPOT2)	Amino.acid.transport
Tb927.11.1560	1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase, putative	Amino.acids
Tb927.4.360	1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase, putative	Amino.acids
Tb927.8.6060	2-amino-3-ketobutyrate coenzyme A ligase, putative,glycine acetyltransferase, putative	Amino.acids
Tb927.11.6630	3-methylcrotonoyl-CoA carboxylase beta subunit, putative	Amino.acids
Tb927.8.2020	agmatinase, putative	Amino.acids
Tb927.5.1280	alanine racemase, putative	Amino.acids
Tb927.1.3000	aminoacylase, putative,N-acyl-L-amino acid amidohydrolase, zinc binding	Amino.acids
Tb927.9.6170	arginine kinase (AK) in cytosol and flagellum	Amino.acids
Tb927.7.1110	asparagine synthetase a, putative	Amino.acids
Tb927.10.3660	aspartate aminotransferase	Amino.acids
Tb927.11.5090	aspartate aminotransferase, mitochondrial	Amino.acids
Tb927.2.4590	branched-chain amino acid aminotransferase, putative	Amino.acids
Tb927.11.2230	carnitine O-acetyltransferase, putative (CAT)	Amino.acids
Tb927.10.470	choline dehydrogenase, putative	Amino.acids
Tb927.9.12320	cystathione gamma lyase, putative	Amino.acids
Tb11.02.5400	cystathionine beta-synthase, putative	Amino.acids
Tb927.10.2750	deoxyhypusine synthase	Amino.acids
Tb927.1.870	deoxyhypusine synthase, putative	Amino.acids
Tb927.7.5560	glucosamine-fructose-6-phosphate aminotransferase, putative	Amino.acids
Tb927.5.3800	glutamine hydrolysing (not ammonia-dependent) carbomoyl phosphate synthase, putative	Amino.acids
Tb927.7.4970	glutamine synthetase, putative	Amino.acids
Tb927.7.6940	glutaminyl cyclase, putative	Amino.acids
Tb927.11.9670	glycine synthase, putative (GCVT1)	Amino.acids
Tb927.1.1270	homocysteine S-methyltransferase, putative	Amino.acids
Tb927.6.4430	homoserine kinase and VSG silencing factor	Amino.acids
Tb927.11.1670	ISCS2, NFS cysteine desulfurase	Amino.acids
Tb927.11.1540	isovaleryl-coA dehydrogenase, putative	Amino.acids
Tb927.9.2010	kynureninase, putative	Amino.acids
Tb927.10.11970	kynurenine aminotransferase, putative	Amino.acids
Tb927.10.4460	leucine carboxyl methyltransferase, putative	Amino.acids
Tb927.7.5920	mercaptopyruvate sulfurtransferase, putative (MST)	Amino.acids
Tb927.10.4000	methylglutaconyl-CoA hydratase, mitochondrial precursor, putative	Amino.acids
Tb927.7.7040	methylthioadenosine phosphorylase, putative (MTAP)	Amino.acids
