GeneID	Annotation	Class	TranscriptLength
NCDS.Tb927.10.13341	hypothetical protein, conserved	ZUnknown	NA
NCDS.Tb927.10.16121	hypothetical protein	ZUnknown	NA
NCDS.Tb927.11.101	hypothetical protein	ZUnknown	NA
NCDS.Tb927.11.10801	pumillio/PUF RNA binding protein 11 (PUF11)	RNA.binding	NA
NCDS.Tb927.11.15665	hypothetical protein	ZUnknown	NA
NCDS.Tb927.11.161	hypothetical protein	ZUnknown	NA
NCDS.Tb927.11.2461	hypothetical protein, conserved	ZUnknown	NA
NCDS.Tb927.11.6740	pumilio/PUF RNA binding protein 10, putative (PUF10)	RNA.binding	NA
NCDS.Tb927.11.711	dynein light chain LC8, putative (DYNLL2)	Cytoskeleton	NA
NCDS.Tb927.11.7451	exosome complex exonuclease RRP44p homologue (RRP44)	RNA.degradation	NA
NCDS.Tb927.11.7452	mRNA processing protein, putative	RNA.processing	NA
NCDS.Tb927.11.7454	ubiquitin activating enzyme, putative	Ubiquitin.proteasome	NA
NCDS.Tb927.11.7456	hypothetical protein, conserved	ZUnknown	NA
NCDS.Tb927.11.7457	hypothetical protein, conserved	ZUnknown	NA
NCDS.Tb927.11.7695	hypothetical protein,chrXI additional, unordered contigs	ZUnknown	NA
NCDS.Tb927.11.7702	hypothetical protein, conserved	ZUnknown	NA
NCDS.Tb927.6.811	hypothetical protein, unlikely	ZUnknown	NA
NCDS.Tb927.7.4641	hypothetical protein	ZUnknown	NA
NCDS.Tb927.8.2391	hypothetical protein	ZUnknown	NA
NCDS.Tb927.9.13745	hypothetical protein, conserved	ZUnknown	NA
NCDS.Tb927.9.14555	leucine-rich repeat protein (LRRP), putative	LRRP	NA
NCDS.Tb927.9.15035	DNA polymerase epsilon subunit b, putative	DNA	NA
NCDS.Tb927.9.15245	hypothetical protein, conserved	ZUnknown	NA
NCDS.Tb927.9.15335	hypothetical protein, conserved	ZUnknown	NA
NCDS.Tb927.9.5885	hypothetical protein, conserved	ZUnknown	NA
