GeneID	TranscriptLength
Tb11.02.5130	9146
Tb927.8.2310	504
Tb11.01.6800	1693
Tb927.6.1500	2621
Tb927.4.360	1757
Tb11.55.0024	1243
Tb927.7.1320	734
Tb927.7.1340	512
Tb11.02.4700	2350
Tb11.v5.0728	NA
Tb11.01.1290	2161
Tb11.01.8120	488
Tb927.2.1452	2251
Tb927.2.1550	2251
Tb927.2.1931	2251
Tb927.8.6060	2101
Tb927.6.1570	1320
Tb927.5.300b	1489
Tb11.47.0004	3899
Tb11.01.1740	3688
Tb11.01.3550	3129
Tb11.v5.0500	NA
Tb927.10.660	1408
Tb927.10.4330	1269
Tb11.v5.1012	NA
Tb927.10.7930	2509
Tb11.01.3340	2113
Tb927.7.5540	2302
Tb927.7.4790	968
Tb927.10.6030	1510
Tb09.211.1250	1295
Tb927.3.5520	4599
Tb11.01.5740	686
Tb927.2.1434	1830
Tb927.2.1530	1830
Tb927.2.1953	1830
Tb927.7.6883	1828
Tb927.2.1416	1484
Tb927.2.1510	1484
Tb927.2.1975	1485
Tb09.160.4440	916
Tb11.01.2740	2449
Tb927.3.950	2373
Tb927.5.980	927
Tb927.7.1530	1421
Tb09.160.3880	1133
Tb11.01.3200	1796
Tb927.10.6450	932
Tb927.5.3950	1298
Tb09.211.1960	1113
Tb927.8.6110	2577
Tb927.10.4040	1507
Tb11.02.4480	2672
Tb927.8.6970	2602
Tb927.4.5350	2037
Tb927.8.2480	1715
Tb927.3.1840	1373
Tb927.2.5210	756
Tb927.3.5630	976
Tb927.4.4910	2508
Tb927.8.7530	1522
Tb927.3.1060	1146
Tb927.3.3070	2797
Tb927.3.3340	3866
Tb11.01.2640	1784
Tb927.10.11800	1861
Tb927.10.5360	649
Tb927.10.5370	615
Tb927.1.3180	554
Tb927.10.560	848
Tb927.10.8430	556
Tb11.02.1830	944
Tb927.10.15120	559
Tb927.2.5910	570
Tb927.6.4980	532
Tb11.0290	435
Tb11.0390	435
Tb927.7.2370	589
Tb927.7.2340	639
Tb927.10.5330	475
Tb11.02.4000	552
Tb927.3.4360	526
Tb927.7.1040	582
Tb927.7.1050	537
Tb11.01.3675	622
Tb11.01.3676	530
Tb927.10.5340	561
Tb11.v5.0243	NA
Tb11.v5.1060	NA
Tb927.4.1860	919
Tb927.10.14600	924
Tb927.10.14710	892
Tb11.02.4350	861
Tb11.02.4360	703
Tb927.10.1080	663
Tb927.10.1090	640
Tb927.10.7330	558
Tb927.10.7340	495
Tb927.10.2840	602
Tb927.3.1370	583
Tb11.01.0355	643
Tb11.01.1475	308
Tb927.7.3680	791
Tb927.10.5030	461
Tb09.160.4450	924
Tb927.10.11540	864
Tb927.6.2100	367
Tb927.6.2110	333
Tb927.7.230	407
Tb927.7.240	372
Tb927.10.3940	894
Tb927.10.3930	877
Tb11.v5.0501	NA
Tb11.02.1085	929
Tb11.02.1090	890
Tb11.v5.1059	NA
Tb11.02.4170	672
Tb927.10.190	813
Tb09.244.2630	962
Tb09.160.2490	682
Tb09.160.2550	682
Tb927.10.7710	1278
Tb927.8.6150	808
Tb927.8.6160	781
Tb927.10.5610	646
Tb927.8.1110	1004
Tb11.01.2560	968
Tb11.01.2680	968
Tb927.11.10790 	NA
Tb09.211.2380	5214
Tb09.160.1980	512
Tb927.8.2990	1141
Tb927.3.4940	3568
Tb927.8.2610	2730
Tb11_rRNA_1	402
Tb10_rRNA_1:rRNA	169
Tb927.2.1443	172
Tb927.2.1540	172
Tb11.v5.0171	NA
Tb927.4.750	916
Tb927.7.2630	2891
Tb09.211.3900	2162
Tb927.6.2290	3301
Tb927.6.2350	3301
Tb11.v5.0405	NA
Tb927.8.1381	119
Tb927.8.1382	119
Tb927.8.1383	119
Tb927.8.1384	119
Tb927.8.1385	119
Tb927.8.1386	119
Tb927.8.1387	119
Tb927.8.1388	119
Tb927.8.1389	31
Tb927.7.1610	1970
Tb927.8.1020	3616
Tb927.3.2710	4534
Tb11.02.4200	4740
Tb09.211.3180	2323
Tb09.211.1580	1458
Tb11.02.4020	1644
Tb927.5.1820	498
Tb09.160.4200	606
Tb927.10.3370	475
Tb927.6.5120	396
Tb927.10.3380	456
Tb927.6.5130	426
Tb927.10.10010	752
Tb11.46.0001	1102
Tb11.46.0002	1068
Tb927.10.8200	932
Tb09.211.0340	761
Tb09.211.0110	722
Tb927.10.13500	1299
Tb11.01.1470	752
Tb09.160.5580	694
Tb09.160.5590	694
Tb09.211.4550	722
Tb927.8.6030	2392
Tb927.3.3310	710
Tb927.3.3320	800
Tb927.4.3550	819
Tb927.5.1610	798
Tb927.6.720	727
Tb11.01.3020	718
Tb927.6.5040	870
Tb09.244.2720	730
Tb11.02.2430	580
Tb927.10.14580	606
Tb11.02.1840	817
Tb927.10.9880	665
Tb927.10.3840	574
Tb11.01.5720	673
Tb927.7.5000	856
Tb927.7.5020	836
Tb11.v5.0181	NA
Tb11.v5.0182	NA
Tb11.01.7960	864
Tb927.5.1110	1434
Tb11.0880	577
Tb11.50.0005	577
Tb927.4.1100	587
Tb927.10.9800	724
Tb11.01.1920	527
Tb09.211.2630	500
Tb09.211.2640	533
Tb927.7.5180	704
Tb927.7.5170	1016
Tb927.10.5460	479
Tb11.02.4220	1118
Tb927.10.5480	531
Tb09.211.4850	576
Tb927.8.6180	658
Tb11.01.7535	548
Tb11.01.7545	482
Tb09.v1.0640	508
Tb09.211.2650	508
Tb11.02.4050	565
Tb11.02.4070	565
Tb11.01.1790	939
Tb927.4.1790	1310
Tb927.10.4110	462
Tb927.10.4120	483
Tb09.211.3270	736
Tb09.211.3280	665
Tb927.10.270	495
Tb09.244.2590	809
Tb11.01.1480	772
Tb927.10.12680	635
Tb09.160.0700	485
Tb09.160.0710	498
Tb927.4.2180	2782
Tb927.10.1590	515
Tb09.244.2725	415
Tb09.211.0865	437
Tb11.02.0500	493
Tb927.10.220	390
Tb927.10.6370	425
Tb927.10.3280	494
Tb09.160.0815	433
Tb927.8.5260	544
Tb927.3.5050	1233
Tb11.02.0740	419
Tb927.2.6090	641
Tb09.244.2730	1021
Tb09.244.2740	1117
Tb927.10.11390	708
Tb927.10.13730	1377
Tb927.7.1740	913
Tb927.7.1730	892
Tb927.7.1750	858
Tb927.4.5170	948
Tb927.8.1330	961
Tb927.8.1340	932
Tb927.10.1100	997
Tb927.6.4690	666
Tb11.v5.0268	NA
Tb927.5.1390	1305
Tb927.5.1410	1308
Tb927.5.1430	1305
Tb927.2.3270	2371
Tb927.2.3280	2372
Tb927.2.3290	2369
Tb927.2.3300	2369
Tb927.2.3310	2370
Tb927.2.3320	1353
Tb11.47.0001	3367
Tb11.v5.0731	NA
Tb927.8.4980	2010
Tb927.8.4990	2010
Tb927.8.5000	2010
Tb927.8.5010	1867
Tb927.3.4300	2030
Tb927.3.4310	2030
Tb927.3.4320	2030
Tb927.3.4330	1955
Tb927.5.360	2035
Tb927.5.390	2032
Tb927.5.350	6573
Tb927.5.370	2041
Tb927.5.380	2067
Tb927.5.400	1665
Tb11.v5.0227	NA
Tb11.v5.0228	NA
Tb11.v5.0229	NA
Tb11.v5.0230	NA
Tb11.v5.0231	NA
Tb11.v5.0421	NA
Tb11.v5.0552	NA
Tb927.4.2480	2056
Tb927.10.8850	2145
Tb11.01.3270	3124
Tb09.160.0830	1809
Tb11.01.4940	4078
Tb11.02.2550	1577
Tb11.02.4210	4026
Tb927.3.1440	3032
Tb11.v5.0418	NA
Tb11.v5.0419	NA
Tb927.5.2890	7403
Tb927.4.1600	1100
Tb927.10.9290	1512
Tb927.3.4620	4880
Tb927.10.8780	6602
Tb11.v5.0588	NA
Tb11.01.0820	4220
Tb09.160.4850	1473
Tb927.1.1700	1551
Tb927.10.15530	2443
Tb11.01.8700	2579
Tb927.1.4420	2995
Tb927.10.3170	2399
Tb927.10.7700	2127
Tb09.160.4600	3741
Tb11.02.3950	5730
Tb927.2.6130	3275
Tb927.3.3730	6953
Tb927.6.2810	1610
Tb927.8.2380	4117
Tb927.2.5410	4506
Tb11.03.0540	3124
Tb11.v5.0748	NA
Tb11.v5.0780	NA
Tb11.v5.0791	NA
Tb927.10.8730	1775
Tb927.8.4000	3522
Tb927.5.3420	1995
Tb11.v5.0736	NA
Tb927.10.9900	1888
Tb927.10.11940	2339
Tb927.8.2540	2133
Tb927.8.7100	7297
Tb927.8.2520	4879
Tb927.8.2790	318
Tb927.8.1910	2181
Tb11.v5.0520	NA
Tb927.1.4490	3001
Tb927.5.2280	1593
Tb927.10.12830	1211
Tb927.8.3310	2039
Tb927.10.7020	1308
Tb927.5.610	2694
Tb927.5.630	2329
Tb09.160.1950	1226
Tb11.02.4910	1846
Tb11.02.4930	1259
Tb927.10.14000	3635
Tb11.01.8820	4648
Tb927.10.16190	4404
Tb927.7.7470	3788
Tb927.10.13040	5018
Tb11.01.5310	4768
Tb09.244.2380	4660
Tb09.211.0620	1343
Tb09.211.0630	1412
Tb927.10.15800	1438
Tb09.160.3850	1394
Tb11.01.1870	1246
Tb927.10.2000	1839
Tb927.3.3020	1025
Tb09.160.3960	1532
Tb927.4.980	1720
Tb11.02.1380	1460
Tb927.10.13710	1381
Tb927.3.860	1348
Tb927.7.6770	1204
Tb11.02.1010	1543
Tb09.211.3020	1788
Tb927.4.2010	848
Tb11.52.0001	3175
Tb927.8.1420	1756
Tb11.01.3640	2259
Tb927.2.5020	2277
Tb927.3.4260	2369
Tb927.3.2030	764
Tb927.3.4820	1224
Tb927.3.3360	1401
Tb927.10.8040	2541
Tb927.4.760	3372
Tb927.7.3180	1310
Tb927.3.4000	635
Tb11.01.2420	3319
Tb927.5.3610	4124
Tb927.4.2020	1560
Tb927.8.6680	634
Tb927.10.9230	2376
Tb927.6.2960	3359
Tb927.8.7050	1467
Tb927.10.14260	1275
Tb927.7.1790	1946
Tb927.7.1780	1343
Tb927.7.4480	889
Tb11.v5.0261	NA
Tb927.10.10810	1857
Tb927.6.2360	1589
Tb927.6.2300	1290
Tb09.160.5250	5134
Tb927.5.286b	1392
Tb927.2.6150	2725
Tb927.2.6240	2229
Tb927.2.6200	1395
Tb927.2.6220	1436
Tb927.2.6320	2570
Tb927.2.6280	2246
Tb927.3.590	1557
Tb11.v5.0210	NA
Tb11.v5.0209	NA
Tb927.6.3210	644
Tb927.10.5760	2470
Tb927.2.5660	1480
Tb927.10.830	1930
Tb927.10.2540	1047
Tb927.5.3970	1190
Tb927.10.2530	1040
Tb09.211.0350	993
Tb927.10.16140	801
Tb09.160.5560	2547
Tb11.v5.0435	NA
Tb11.02.1120	3384
Tb927.6.390	3588
Tb927.4.4420	3714
Tb927.5.3390	357
Tb927.5.3380	1584
Tb927.10.9300	954
Tb927.6.2270	890
Tb927.10.8580	1675
Tb09.160.0850	3083
Tb927.10.9670	4199
Tb11.01.6060	1203
Tb927.3.5330	1072
Tb11.01.0920	1626
Tb09.244.2540	1416
Tb11.01.1230	1298
Tb927.10.4250	674
Tb927.3.3450	695
Tb11.v5.0234	NA
Tb09.160.5300	633
Tb927.10.5230	1456
Tb927.6.3650	1747
Tb09.160.5600	1348
Tb09.211.4460	1532
Tb09.211.4470	1463
Tb09.211.4480	652
Tb09.211.4490	671
Tb927.7.6230	1919
Tb927.10.2230	2206
Tb927.3.2440	1582
Tb927.8.2020	1305
Tb927.10.10850	3387
Tb11.01.8770	4036
Tb927.8.3610	1703
Tb927.10.14770	2675
Tb927.5.1280	1286
Tb927.6.700	3728
Tb11.02.2040	705
Tb11.02.2030	683
Tb927.4.2040	1136
Tb927.4.2030	1588
Tb927.6.3050	2011
Tb927.8.7770	3664
Tb927.6.4210	2350
Tb927.10.6190	1767
Tb927.2.5180	1166
Tb11.02.3040	1944
Tb927.4.1360	1492
Tb927.4.460	1960
Tb927.1.2340	1580
Tb927.1.2360	1580
Tb927.1.2380	1580
Tb927.1.2400	1580
Tb11.v5.0468	NA
Tb09.211.0860	1455
Tb927.3.1400	1529
Tb927.1.4780	2051
Tb927.4.600	1514
Tb927.6.1810	3140
Tb09.211.3880	2235
Tb11.01.5750	6084
Tb11.02.1170	1560
Tb927.5.2750	1322
Tb927.7.340	1044
Tb927.8.2110	1519
Tb09.160.2540	956
Tb09.160.2600	956
Tb927.10.9760	1521
Tb927.10.7090	2611
Tb927.4.3500	1172
Tb11.01.0110	1011
Tb927.4.3520	1052
Tb11.01.0100	1653
Tb927.8.2410	1108
Tb927.4.1300	1964
Tb927.10.5780	1960
Tb927.8.7660	330
Tb927.8.7690	558
Tb927.8.4750	120
Tb927.8.7610	2104
Tb927.8.7620	2081
Tb927.8.7630	2081
Tb927.8.7640	2081
Tb927.4.4820	2986
Tb927.4.4840	1765
Tb11.v5.0540	NA
Tb927.4.4860	1754
Tb927.8.8290	3150
Tb927.8.7600	3286
Tb927.8.7670	1991
Tb927.8.7700	3130
Tb927.8.8300	2765
Tb11.01.7590	4335
Tb11.01.7600	2458
Tb927.10.9850	2155
Tb927.4.3930	2496
Tb927.4.3990	1968
Tb927.4.4000	3206
Tb927.4.4010	3211
Tb927.4.4020	2259
Tb927.4.4830	1428
Tb927.4.4850	1428
Tb927.4.4870	1431
Tb927.8.4710	2849
Tb927.8.4720	2849
Tb927.8.4730	2849
Tb927.8.4740	2848
Tb927.8.7650	1437
Tb927.8.7680	2064
Tb927.8.7740	2097
Tb927.8.8220	2000
Tb927.8.8230	5972
Tb927.8.8240	2000
