GeneID	ORFlength
Tb11.02.5130	9129
Tb927.8.2310	330
Tb11.01.6800	816
Tb927.6.1500	1842
Tb927.4.360	843
Tb11.55.0024	996
Tb927.7.1320	303
Tb927.7.1340	303
Tb11.02.4700	759
Tb11.v5.0728	x
Tb11.01.1290	789
Tb11.01.8120	462
Tb927.2.1452	#N/A
Tb927.2.1550	#N/A
Tb927.2.1931	#N/A
Tb927.8.6060	1215
Tb927.6.1570	903
Tb927.5.300b	963
Tb11.47.0004	3027
Tb11.01.1740	3018
Tb11.01.3550	1152
Tb11.v5.0500	x
Tb927.10.660	1251
Tb927.10.4330	1107
Tb11.v5.1012	x
Tb927.10.7930	1656
Tb11.01.3340	2103
Tb927.7.5540	2181
Tb927.7.4790	777
Tb927.10.6030	801
Tb09.211.1250	753
Tb927.3.5520	2736
Tb11.01.5740	645
Tb927.2.1434	#N/A
Tb927.2.1530	#N/A
Tb927.2.1953	#N/A
Tb927.7.6883	#N/A
Tb927.2.1416	#N/A
Tb927.2.1510	#N/A
Tb927.2.1975	#N/A
Tb09.160.4440	822
Tb11.01.2740	1953
Tb927.3.950	1263
Tb927.5.980	918
Tb927.7.1530	1365
Tb09.160.3880	612
Tb11.01.3200	819
Tb927.10.6450	915
Tb927.5.3950	957
Tb09.211.1960	867
Tb927.8.6110	1500
Tb927.10.4040	1047
Tb11.02.4480	1839
Tb927.8.6970	2037
Tb927.4.5350	2037
Tb927.8.2480	1008
Tb927.3.1840	897
Tb927.2.5210	726
Tb927.3.5630	936
Tb927.4.4910	1203
Tb927.8.7530	1077
Tb927.3.1060	1146
Tb927.3.3070	2730
Tb927.3.3340	2031
Tb11.01.2640	729
Tb927.10.11800	1122
Tb927.10.5360	519
Tb927.10.5370	519
Tb927.1.3180	525
Tb927.10.560	525
Tb927.10.8430	429
Tb11.02.1830	435
Tb927.10.15120	456
Tb927.2.5910	456
Tb927.6.4980	435
Tb11.0290	#N/A
Tb11.0390	#N/A
x	456
Tb927.7.2370	459
Tb927.7.2340	459
Tb927.10.5330	462
Tb11.02.4000	393
Tb927.3.4360	393
Tb927.7.1040	450
Tb927.7.1050	450
Tb11.01.3675	429
Tb11.01.3676	429
Tb927.10.5340	462
Tb11.v5.0243	x
Tb11.v5.1060	x
Tb927.4.1860	504
Tb927.10.14600	801
Tb927.10.14710	801
Tb11.02.4350	591
Tb11.02.4360	585
Tb927.10.1080	432
Tb927.10.1090	432
Tb927.10.7330	414
Tb927.10.7340	414
Tb927.10.2840	342
Tb927.3.1370	342
Tb11.01.0355	336
Tb11.01.1475	261
x	261
Tb927.7.3680	462
Tb927.10.5030	456
Tb09.160.4450	645
Tb927.10.11540	645
Tb927.6.2100	201
Tb927.6.2110	201
Tb927.7.230	312
Tb927.7.240	312
Tb927.10.3940	771
Tb927.10.3930	771
Tb11.v5.0501	x
Tb11.02.1085	822
Tb11.02.1090	822
Tb11.v5.1059	x
Tb11.02.4170	573
Tb927.10.190	753
Tb09.244.2630	753
Tb09.160.2490	609
Tb09.160.2550	609
Tb927.10.7710	783
Tb927.8.6150	663
Tb927.8.6160	663
Tb927.10.5610	573
Tb927.8.1110	573
Tb11.01.2560	735
Tb11.01.2680	735
Tb927.11.10790 	735
Tb09.211.2380	1638
Tb09.160.1980	171
Tb927.8.2990	963
Tb927.3.4940	2250
Tb927.8.2610	2346
Tb11_rRNA_1	#N/A
Tb10_rRNA_1:rRNA	#N/A
Tb927.2.1443	#N/A
Tb927.2.1540	#N/A
Tb11.v5.0171	x
Tb927.4.750	438
Tb927.7.2630	2766
Tb09.211.3900	1905
Tb927.6.2290	2775
Tb927.6.2350	2775
Tb11.v5.0405	x
Tb927.8.1381	#N/A
Tb927.8.1382	#N/A
Tb927.8.1383	#N/A
Tb927.8.1384	#N/A
Tb927.8.1385	#N/A
Tb927.8.1386	#N/A
Tb927.8.1387	#N/A
