GeneID	Annotation	Class	ORFlength
Tb05.30F7.410	hypothetical protein	ZUnknown	510
Tb05.5K5.130	paraflagellar rod protein par4, putative	Cytoskeleton	
Tb06.3A7.270	hypothetical protein, conserved	ZUnknown	3408
Tb06.3A7.960	hypothetical protein	ZUnknown	933
Tb07.26A24.210	hypothetical protein	ZUnknown	453
Tb10.v4.0033	pumillo RNA binding protein PUF1,chrX additional, unordered contigs (PUF1)	RNA.binding	x
Tb10.v4.0045	prohibitin, putatives	Cell.cycle	
Tb11.02.5105	POMP15	Mito.membrane	
Tb11.02.5360	hypothetical protein, conserved	ZUnknown	
Tb11.02.5370	hypothetical protein, conserved	ZUnknown	
Tb11.02.5380	RRP44	RNA.degradation	
Tb11.02.5390	mRNA processing protein, putative	Mito.RNA	
Tb11.02.5400	cystathionine beta-synthase, putative	Amino.acids	1089
Tb11.02.5410	SUMO activating enzyme AOS1	Ubiquitin.proteasome	
Tb11.02.5430	hypothetical protein, conserved	ZUnknown	
Tb11.02.5440	hypothetical protein, conserved	ZUnknown	
Tb927.1.10	hypothetical protein	ZUnknown	333
Tb927.1.1000	developmentally regulated phosphoprotein (dr6)	Mito.pathway	1263
Tb927.1.1010	E3 ubiquitin-protein ligase KCMF1, putative	ZUnknown	2160
Tb927.1.1020	leucine-rich repeat-containing protein	LRRP	1281
Tb927.1.1030	leucine-rich repeat protein (LRRP)	LRRP	1374
Tb927.1.1040	hypothetical protein, conserved	ZUnknown	510
Tb927.1.1050	Metallo-dependent phosphatase-like domain-containing protein	Enzyme	3357
Tb927.1.1060	Cell cycle checkpoint protein RAD1-like, putative	Cell.cycle	918
Tb927.1.1080	TFIIH basal transcription factor subunit (TSP1)	RNA.synthesis	1458
Tb927.1.110	hypothetical protein, conserved	ZUnknown	327
Tb927.1.1100	conserved protein, unknown function	ZUnknown	2913
Tb927.1.1120	Ribosomal RNA-processing protein 8, putative (RRP8)	rRNA.tRNA.process	1110
Tb927.1.1130	glycerol-3-phosphate dehydrogenase (FAD-dependent), in TAO complex	Glucose.glycerol	1854
Tb927.1.1140	Transmembrane protein 231, putative	ZUnknown	1074
Tb927.1.1150	zeta tubulin	Cytoskeleton	1443
Tb927.1.1160	PPR3	Mito.translation	1596
Tb927.1.1170	DNA-directed RNA polymerase subunit RBP12, putative (RBP12)	RNA.synthesis	249
Tb927.1.1200	Mitchondrial SSU ribosomal protein	Mito.translation	1290
Tb927.1.1210	conserved protein, unknown function	ZUnknown	435
Tb927.1.1220	RWD domain-containing protein	ZUnknown	684
Tb927.1.1230	chaperone protein DNAj, putative	Chaperone	1443
Tb927.1.1240	CTP synthase	Nucleotides	1770
Tb927.1.1270	homocysteine S-methyltransferase, putative	Amino.acids	1302
Tb927.1.1300	hypothetical transmembrane protein, conserved	ZUnknown	924
Tb927.1.1310	transmembrane protein, conserved	ZUnknown	1293
Tb927.1.1330	Mitochondrial Editosome-like Complex TUTase (MEAT1)	Mito.RNA	1221
Tb927.1.1340	FG-GAP repeat protein, putative,intergrin alpha chain protein, putative	Cytoskeleton	2229
Tb927.1.1350	kinesin heavy chain, Kinesin-1	Cytoskeleton	2661
Tb927.1.1370	rRNA biogenesis protein, putative	rRNA.tRNA.process	2040
Tb927.1.1380	serine/threonine protein phosphatase 2A regulatory subunit, putative	Protein.kinase	1722
Tb927.1.1390	hypothetical protein, conserved	ZUnknown	738
Tb927.1.1400	Overproducer of inositol protein 10 homolog, putative	ZUnknown	582
Tb927.1.1420	conserved protein, unknown function	ZUnknown	1992
Tb927.1.1470	conserved protein, unknown function	ZUnknown	1758
Tb927.1.1500	conserved protein, unknown function	ZUnknown	1995
Tb927.1.1530	protein kinase, putative	Protein.kinase	5229
Tb927.1.1540	Tubulin/FtsZ family, putative	Cytoskeleton	1956
Tb927.1.1550	tubulin-tyrosine ligase, putative	Cytoskeleton	2073
Tb927.1.1560	vesicular-fusion protein nsf, putative,N-ethylmaleimide sensitive factor (NsF)	Vesicular.transport	2178
Tb927.1.1580	cytochrome c oxidase assembly factor, SCO1/2, putative	Mito.e.transport	906
Tb927.1.1600	pseudouridine synthase TruD, putative	rRNA.tRNA.process	4572
Tb927.1.1610	hypothetical protein, conserved	Mito.pathway	813
Tb927.1.1620	ATP-dependent DEAD/H RNA helicase, putative, no clear yeast homologue	RNA.helicase	2220
Tb927.1.1630	transcription elongation factor 1 homolog (ELOF1)	RNA.synthesis	483
